,User-ID,ISBN,Book-Rating
25502,6242,0375705856,5
25504,6242,0375706410,8
25520,6242,038542017X,7
25525,6242,0385720467,7
25534,6242,0446678457,5
25536,6242,0452264464,5
25593,6242,0679724362,6
25596,6242,0679746048,5
25597,6242,0679751521,5
25649,6242,0871136791,8
25718,6251,0060392452,10
25744,6251,0061009059,7
25808,6251,015602943X,10
25861,6251,0312966091,9
25863,6251,0312980140,7
25893,6251,0345392825,8
25923,6251,0375504613,7
25925,6251,0375725784,4
25935,6251,0380600129,10
25954,6251,0380789035,7
25961,6251,0380813815,10
25978,6251,0385484518,7
26082,6251,0440498058,10
26088,6251,0441003257,10
26175,6251,0517149257,10
26189,6251,0553210092,7
26210,6251,0553560247,7
26251,6251,0609610597,3
26307,6251,0679454446,8
26408,6251,0786869216,10
26411,6251,0786885688,8
26431,6251,0807083054,9
26521,6251,1400032717,10
26717,6323,0345313860,6
26739,6323,0380710218,3
26742,6323,0380717018,1
26746,6323,0380730820,5
26832,6323,0553284789,6
26851,6323,0671011375,6
26888,6323,0805036377,5
27406,6543,0060987103,10
27407,6543,0061009059,8
27409,6543,0061020710,6
27411,6543,0061031550,9
27443,6543,0140270590,7
27455,6543,0142004278,6
27464,6543,0312099436,10
27505,6543,0312979096,7
27506,6543,0312980140,8
27526,6543,0345436911,8
27530,6543,0345445848,7
27535,6543,0374100128,5
27563,6543,0380813815,10
27578,6543,0385721420,7
27615,6543,0446605484,10
27624,6543,0451179285,10
27629,6543,0451197399,7
27657,6543,0553274503,8
27660,6543,055356773X,6
27685,6543,0670030643,7
27709,6543,067976397X,7
27745,6543,0767905385,7
27767,6543,0836218051,10
27794,6543,1400031346,6
27795,6543,1400031354,7
27796,6543,1400031362,8
27844,6563,0060987103,8
27845,6563,0060987529,8
27848,6563,0061097101,10
27888,6563,0375412530,6
27904,6563,0385335830,7
27908,6563,0385413041,8
27909,6563,0385484518,10
27924,6563,0439139600,9
27938,6563,0440224594,9
27956,6563,0446675059,8
27990,6563,0671021001,2
27998,6563,0671693816,7
28009,6563,0684872153,1
28023,6563,0767900383,3
28028,6563,0786881852,8
28030,6563,0804114609,10
28033,6563,0812967240,7
28041,6563,1400031346,8
28045,6563,1558745017,5
28046,6563,1558746226,5
28143,6575,0060502258,8
28161,6575,0060934417,9
28174,6575,0060987103,9
28237,6575,015602943X,10
28247,6575,0312144075,9
28248,6575,0312150601,8
28253,6575,0312195516,8
28259,6575,0312265867,9
28262,6575,0312282990,9
28270,6575,0312966970,9
28274,6575,0312980140,9
28279,6575,0312986343,5
28281,6575,0312990456,9
28291,6575,0316779423,5
28324,6575,0345416260,8
28329,6575,0345433491,8
28338,6575,0373250126,5
28364,6575,037570485X,9
28365,6575,0375705856,8
28366,6575,0375706410,9
28367,6575,0375706771,7
28374,6575,0375725784,7
28420,6575,0385335482,5
28423,6575,0385474547,8
28426,6575,0385484518,6
28459,6575,0399151648,7
28486,6575,0440221099,7
28513,6575,0446672211,8
28544,6575,0449911004,8
28571,6575,0452282152,6
28596,6575,0553279912,7
28599,6575,0553289691,6
28632,6575,0671001795,9
28667,6575,0679442405,9
28671,6575,0679457526,7
28688,6575,0679736042,7
28697,6575,0679746048,9
28802,6575,0804111359,2
28820,6575,0811801802,9
28821,6575,0811802981,9
28834,6575,0836218515,9
28846,6575,0877017883,9
28859,6575,0894808249,6
28879,6575,1400031346,9
28880,6575,1400031354,9
28882,6575,1400034779,9
30117,7125,0060096195,8
30128,7125,0060930535,8
30157,7125,0345450892,10
30196,7125,0440241162,8
30212,7125,0515120006,6
30256,7125,0767907817,8
30258,7125,0767914767,9
30263,7125,0804114609,10
30273,7125,1400031354,10
30458,7158,0066214440,5
30461,7158,0142000205,9
30487,7158,0316168688,8
30509,7158,0345442768,10
30588,7158,0440226104,7
30601,7158,0446605484,8
30610,7158,0446672211,8
30661,7158,0553582747,8
30667,7158,0553801430,7
30675,7158,067100042X,6
30817,7158,155874262X,7
31060,7283,0060934417,10
31061,7283,0060987103,9
31073,7283,0345380371,8
31083,7283,0385507593,9
31100,7283,0553278274,7
31104,7283,0553575384,10
31112,7283,0743417682,7
31185,7286,0399501487,10
31201,7286,0440229499,10
31202,7286,0440237688,10
31209,7286,044048474X,8
31248,7286,0671695304,3
31315,7286,089480829X,7
31498,7346,0028604199,8
31501,7346,0060096195,8
31526,7346,0060987103,7
31554,7346,0064471047,9
31569,7346,0140254544,8
31579,7346,0140386645,8
31580,7346,0140430725,10
31611,7346,0312265867,6
31626,7346,0312966970,8
31628,7346,0312976275,7
31631,7346,0312980140,8
31633,7346,0316096199,8
31676,7346,0345348036,8
31688,7346,0345380371,9
31704,7346,0345445848,6
31757,7346,0380725827,8
31780,7346,0380820447,7
31786,7346,0385335881,8
31798,7346,0385730586,7
31822,7346,0399147195,8
31823,7346,0413537900,7
31843,7346,0425154092,8
31884,7346,0440224705,7
31886,7346,0440225701,10
31915,7346,044048474X,7
31924,7346,0440940001,9
31983,7346,0449003787,8
32010,7346,0449219364,8
32012,7346,0449219461,7
32042,7346,0451188454,8
32048,7346,0451457811,9
32065,7346,0515087122,8
32106,7346,0553210793,8
32114,7346,0553213180,9
32151,7346,0553284789,6
32163,7346,0553560247,8
32171,7346,0553575384,10
32236,7346,0670892963,7
32237,7346,0671001795,8
32248,7346,0671250671,8
32279,7346,0671701231,7
32284,7346,0671726889,8
32304,7346,0671867172,9
32308,7346,0679732411,10
32329,7346,0684872153,7
32402,7346,0836221192,6
32456,7346,1558531025,9
32457,7346,155874262X,7
32458,7346,1558743316,7
33056,7841,0060987103,9
33059,7841,0140185216,10
33065,7841,0440403278,5
33074,7841,0679721886,10
33075,7841,0679734775,9
33077,7841,0767902890,10
33326,7915,0061009059,8
33351,7915,0312195516,10
33355,7915,0312966091,8
33358,7915,0312976275,10
33360,7915,0312980140,10
33372,7915,0345346491,7
33383,7915,0375706771,8
33402,7915,0395083567,10
33411,7915,0425178951,9
33424,7915,0446387878,7
33439,7915,0451410947,7
33442,7915,0452282152,9
33496,7915,0786862564,6
33864,8066,0060502258,9
33869,8066,0060976497,6
33898,8066,0345446860,8
33930,8066,0446672211,7
33950,8066,0679734775,7
33968,8066,0767900383,8
33973,8066,0767905385,7
33987,8066,0871136791,7
34004,8066,140003180X,7
34029,8067,0060096195,10
34034,8067,0061009059,10
34047,8067,0312966806,7
34048,8067,0312966970,10
34055,8067,0312980140,10
34058,8067,0312983271,10
34111,8067,0385335830,9
34112,8067,038533656X,10
34119,8067,042518630X,2
34122,8067,0440241162,10
34128,8067,0446610542,9
34146,8067,0452284295,10
34158,8067,0553572040,10
34159,8067,055357258X,10
34160,8067,0553574639,10
34167,8067,0553578359,10
34170,8067,0671001795,10
34189,8067,0743469801,10
34194,8067,0804114609,7
34219,8067,1551669498,10
34581,8245,0142001430,9
34583,8245,0156006529,7
34589,8245,0312195516,9
34594,8245,0312966806,8
34604,8245,0345416260,8
34605,8245,0345425707,8
34608,8245,0345446860,7
34624,8245,0380820447,8
34672,8245,0446679364,8
34679,8245,0451409973,8
34683,8245,0452282152,10
34685,8245,0452282829,6
34688,8245,051511779X,7
34689,8245,0515131229,8
34711,8245,0671708635,8
34722,8245,0688170528,8
34730,8245,0786866020,9
34742,8245,0812967240,7
34747,8245,0887307876,9
34835,8253,0060391626,9
34844,8253,0060930535,10
34881,8253,0316601950,9
34882,8253,0316666343,10
34890,8253,0345436911,8
34891,8253,0375401598,9
34895,8253,0375703764,10
34896,8253,0375703861,8
34905,8253,0385425473,8
34907,8253,0385490445,8
34929,8253,0440127793,9
34938,8253,0441172717,9
34974,8253,0671021001,10
34977,8253,0671701231,5
35006,8253,0807083054,10
35017,8253,1573225126,10
35541,8454,0060987103,10
35542,8454,0060987529,9
35550,8454,0142000205,7
35553,8454,0142001805,8
35563,8454,0316601950,9
35566,8454,0316780375,8
35573,8454,0375412824,6
35574,8454,0375703861,7
35594,8454,0449911519,10
35596,8454,0452281784,7
35609,8454,0679736042,8
35617,8454,0743225422,9
35622,8454,0767905180,8
35630,8454,1400032717,10
36174,8681,0312150601,9
36177,8681,0312195516,8
36190,8681,0316779237,9
36213,8681,0375703764,10
36222,8681,0380973650,10
36225,8681,0385490445,10
36232,8681,0385498721,8
36243,8681,0393319296,8
36318,8681,0618002219,8
36387,8681,0802132758,10
36571,8734,014023828X,7
36577,8734,0312195516,9
36582,8734,0380973650,8
36601,8734,0452282195,7
36624,8734,0767905385,7
36632,8734,089480829X,8
39016,9417,0440207622,5
39059,9417,0553578685,7
39072,9417,0671443283,5
39082,9417,0671670689,5
39083,9417,0671695169,5
39088,9417,0671759345,5
39379,9613,0373483503,8
39383,9613,0425181685,5
39391,9613,0441000916,7
39393,9613,0441002935,6
39395,9613,0441004520,6
39397,9613,0441005748,7
39406,9613,0525945725,10
39438,9613,0811825558,10
39443,9613,0821769367,10
40264,10030,0020199600,8
40299,10030,0446322180,10
40349,10030,0671004549,10
40355,10030,0671701231,10
40359,10030,0671867172,10
40378,10030,155874262X,10
40762,10314,0060976845,9
40772,10314,0142000205,6
40778,10314,0312195516,9
40785,10314,0312979096,6
40786,10314,0316601950,8
40794,10314,034545104X,9
40798,10314,0375413634,7
40803,10314,0375700757,6
40804,10314,0375702709,7
40809,10314,0375727132,6
40812,10314,0380730138,5
40814,10314,0385265700,6
40889,10314,0743411323,9
40897,10314,0786867647,9
40913,10314,1558744150,6
41152,10447,0060916508,7
41157,10447,0060976845,8
41158,10447,0060987529,9
41171,10447,0140254544,9
41184,10447,0312099436,8
41196,10447,0316789089,3
41202,10447,0345382323,7
41210,10447,0345435028,8
41216,10447,0345465083,10
41222,10447,0375700757,9
41269,10447,0440212359,6
41294,10447,0451203895,5
41299,10447,0452282152,7
41345,10447,0743237188,3
41368,10447,0894808249,7
41378,10447,155874262X,6
41379,10447,1558746226,6
41525,10560,0312195516,9
41528,10560,0316666343,8
41532,10560,0345423402,9
41546,10560,0375411992,9
41565,10560,0439139600,9
41584,10560,0515133876,10
41613,10560,0767905385,8
42068,10819,0345362861,9
42131,10819,0440174643,10
42144,10819,0440498058,9
42206,10819,0553262505,7
42213,10819,0553293354,9
42311,10819,1558531025,7
42894,11224,0061000043,5
42895,11224,0061009059,7
42900,11224,0316666343,9
42901,11224,0316781142,5
42927,11224,0452260116,2
42929,11224,0553210092,6
42939,11224,0670892963,8
42949,11224,0971880107,1
42951,11224,155874262X,8
42953,11224,1558746226,8
42978,11245,0345413903,6
42985,11245,0425180964,9
42987,11245,0440200989,8
42993,11245,0440242002,8
43017,11245,0671004549,9
43020,11245,0671701231,8
43502,11601,0060938455,10
43783,11601,0375703063,10
43920,11601,0394800168,10
44025,11601,0440220424,5
44453,11601,0671250671,10
44578,11601,0671888587,9
44628,11601,0684810387,8
45489,11676,0060008032,8
45580,11676,0060194448,7
45581,11676,006019491X,10
45600,11676,0060256672,8
45612,11676,0060391626,10
45618,11676,0060502258,8
45690,11676,0060914653,8
45696,11676,0060920084,9
45727,11676,0060934719,8
45734,11676,0060938455,10
45751,11676,0060964049,4
45779,11676,0060977337,5
45788,11676,0060987103,9
45790,11676,0060987529,8
45793,11676,006098824X,5
45794,11676,0060988649,8
45799,11676,0061000027,7
45801,11676,0061000043,9
45803,11676,0061000175,8
45812,11676,0061009059,8
45821,11676,0061013412,7
45844,11676,0061031550,6
45912,11676,0061092886,10
45938,11676,0061097853,8
45939,11676,0061097861,9
45947,11676,006109921X,9
45949,11676,0061099325,8
45959,11676,0062502182,10
45979,11676,0064400042,9
45983,11676,0064400557,9
46005,11676,0064407055,8
46018,11676,0064471101,10
46037,11676,0066214122,9
46038,11676,0066214440,5
46262,11676,0140077022,7
46337,11676,0140185216,6
46347,11676,014023828X,10
46363,11676,0140254544,8
46376,11676,0140265988,10
46380,11676,0140270590,8
46402,11676,0140280464,3
46485,11676,014038572X,8
46577,11676,0141301155,8
46595,11676,0142000205,8
46604,11676,0142001821,8
46614,11676,0142004278,6
46660,11676,0156001314,7
46877,11676,0312147015,8
46899,11676,0312195516,10
46900,11676,0312199430,7
46930,11676,0312265867,8
46936,11676,0312272057,9
46948,11676,0312282990,8
46957,11676,0312291639,9
46959,11676,0312305060,9
47048,11676,0312955006,9
47061,11676,0312961324,10
47074,11676,0312966091,8
47076,11676,0312966970,7
47100,11676,0312976275,7
47112,11676,0312979479,9
47135,11676,0312983298,5
47146,11676,0312986343,8
47164,11676,0316096199,10
47183,11676,0316168688,9
47222,11676,0316666009,8
47223,11676,0316666343,5
47232,11676,0316693294,10
47240,11676,0316734837,10
47254,11676,0316780375,7
47255,11676,0316780812,8
47257,11676,0316781142,9
47260,11676,0316782505,8
47262,11676,0316789089,8
47526,11676,0345313151,7
47529,11676,0345313860,8
47534,11676,0345318854,2
47566,11676,0345335465,9
47575,11676,0345339495,6
47585,11676,0345346491,10
47591,11676,0345350472,8
47599,11676,0345354613,5
47611,11676,0345362861,8
47630,11676,0345378482,7
47645,11676,034538475X,6
47650,11676,0345386108,10
47679,11676,0345404475,8
47687,11676,034540761X,8
47699,11676,0345413873,5
47700,11676,0345413881,10
47701,11676,034541389X,6
47710,11676,0345418018,7
47721,11676,0345423291,8
47724,11676,0345423615,4
47728,11676,0345425707,7
47747,11676,0345433491,8
47753,11676,0345435168,3
47761,11676,0345438329,6
47779,11676,0345444884,9
47781,11676,0345445848,6
47798,11676,0345452550,10
47821,11676,0345465083,7
47951,11676,0373218036,9
47952,11676,0373218192,8
47953,11676,0373218397,8
47954,11676,0373218400,5
47978,11676,0373243790,10
47980,11676,0373244487,8
48045,11676,0373483503,10
48054,11676,0373484232,10
48056,11676,0373484410,8
48143,11676,0374199698,9
48160,11676,0374525641,10
48163,11676,0375401601,7
48166,11676,037540256X,7
48170,11676,0375406182,8
48172,11676,0375406530,5
48181,11676,0375412530,4
48182,11676,0375412824,9
48212,11676,0375504613,9
48232,11676,0375701907,9
48235,11676,0375702709,7
48250,11676,0375705171,8
48256,11676,0375706410,8
48257,11676,0375706771,6
48277,11676,0375727132,8
48292,11676,0375758992,10
48322,11676,0380005239,10
48354,11676,0380702843,10
48369,11676,0380710218,8
48388,11676,0380717018,5
48393,11676,0380718332,9
48394,11676,0380718340,10
48405,11676,0380721643,1
48410,11676,0380722704,6
48420,11676,0380725827,6
48440,11676,0380730847,7
48461,11676,0380753006,8
48548,11676,0380804697,8
48552,11676,0380805995,8
48577,11676,0380813815,5
48581,11676,0380815923,5
48591,11676,0380818973,5
48600,11676,0380820854,5
48602,11676,038082101X,8
48615,11676,0380973650,7
48655,11676,0385199570,8
48670,11676,0385265700,7
48738,11676,0385335482,10
48741,11676,038533558X,9
48743,11676,0385335830,8
48744,11676,0385335881,8
48746,11676,0385336179,7
48748,11676,038533656X,9
48753,11676,0385337639,10
48762,11676,038542017X,8
48763,11676,0385421982,9
48772,11676,0385474016,10
48773,11676,0385474547,10
48780,11676,0385484518,9
48789,11676,0385490445,7
48790,11676,038549081X,9
48799,11676,0385494246,9
48811,11676,0385498721,9
48824,11676,0385504470,7
48839,11676,0385511612,10
48840,11676,0385512104,9
48857,11676,0385722192,8
48859,11676,0385722435,7
48890,11676,0393317552,9
48891,11676,0393319296,3
48981,11676,0394800168,9
49062,11676,0399133143,8
49107,11676,0399144463,5
49128,11676,039914675X,10
49171,11676,0399150897,8
49177,11676,0399151648,8
49272,11676,0425121259,8
49284,11676,0425133540,5
49291,11676,0425136981,8
49304,11676,0425142485,6
49315,11676,0425147363,9
49317,11676,0425147584,6
49320,11676,0425150143,5
49335,11676,0425154092,8
49351,11676,0425158594,5
49358,11676,042516098X,5
49440,11676,0425180050,9
49441,11676,0425180638,9
49442,11676,0425180964,10
49450,11676,042518286X,5
49457,11676,0425183971,8
49471,11676,042518630X,10
49478,11676,0425188787,8
49481,11676,0425189031,9
49488,11676,0425190641,10
49554,11676,0439139600,10
49615,11676,0440127793,7
49637,11676,0440174643,8
49639,11676,0440176484,9
49642,11676,0440180295,8
49658,11676,0440200989,4
49668,11676,0440204208,6
49683,11676,0440207622,7
49701,11676,0440212359,3
49723,11676,0440216745,4
49731,11676,0440217520,3
49743,11676,0440219078,7
49748,11676,0440220653,6
49752,11676,0440221315,9
49773,11676,0440224705,5
49777,11676,0440224780,10
49784,11676,0440225299,10
49786,11676,0440225701,8
49787,11676,0440225817,8
49791,11676,0440226104,7
49814,11676,0440236061,5
49817,11676,044023669X,8
49820,11676,0440236738,5
49828,11676,0440237262,8
49860,11676,0440407524,10
49889,11676,0440498058,8
49906,11676,0440940001,8
49923,11676,0441003257,7
49929,11676,0441004520,9
49948,11676,0441009239,8
49973,11676,0441569595,8
49982,11676,0441790348,8
50009,11676,0446322180,6
50031,11676,0446354732,8
50058,11676,0446363251,10
50073,11676,0446387878,8
50101,11676,0446519138,8
50111,11676,044652087X,5
50169,11676,0446603589,7
50181,11676,0446604801,8
50191,11676,0446606189,9
50253,11676,044661193X,6
50269,11676,0446613436,6
50281,11676,0446672211,10
50288,11676,0446675059,8
50296,11676,0446679364,6
50313,11676,0448095017,5
50337,11676,0449003787,7
50339,11676,0449003981,9
50347,11676,0449006522,8
50446,11676,0449219364,7
50457,11676,0449221482,7
50458,11676,0449221490,9
50466,11676,0449223604,5
50517,11676,0449911004,7
50524,11676,0449912558,10
50601,11676,0451169530,5
50644,11676,0451188454,8
50650,11676,0451190521,5
50653,11676,0451191013,6
50726,11676,0451205626,8
50736,11676,0451207521,1
50743,11676,0451208811,5
50771,11676,0451403703,9
50795,11676,0451409973,5
50844,11676,0451523377,8
50879,11676,0452264464,8
50880,11676,0452266564,9
50881,11676,0452268060,8
50909,11676,0452281725,10
50912,11676,0452281903,10
50914,11676,0452282195,8
50916,11676,0452282829,10
51037,11676,0515111279,3
51063,11676,0515121495,7
51064,11676,0515121843,9
51065,11676,051512219X,9
51083,11676,0515126772,10
51089,11676,0515128554,8
51105,11676,0515132020,10
51108,11676,0515132268,9
51110,11676,051513287X,10
51123,11676,0515134384,8
51130,11676,0515135739,5
51134,11676,0515136379,7
51135,11676,0515136530,10
51152,11676,0517149257,7
51293,11676,0552143774,9
51328,11676,0552996009,9
51428,11676,0553210092,8
51432,11676,0553210793,7
51437,11676,0553212451,5
51445,11676,055321313X,7
51446,11676,0553213148,5
51541,11676,0553268449,10
51578,11676,0553277472,7
51587,11676,0553278746,8
51592,11676,0553279556,6
51598,11676,0553280368,10
51611,11676,0553284789,4
51621,11676,0553289411,8
51622,11676,055328942X,10
51624,11676,0553289691,5
51635,11676,0553293354,7
51638,11676,0553294903,8
51649,11676,0553296981,7
51658,11676,0553348973,10
51659,11676,0553348981,10
51665,11676,0553375407,10
51675,11676,0553380958,9
51678,11676,0553382179,10
51692,11676,0553560247,9
51710,11676,055356451X,9
51720,11676,055356773X,6
51728,11676,0553569031,8
51731,11676,0553569155,8
51747,11676,0553572040,7
51750,11676,055357227X,7
51751,11676,055357230X,7
51763,11676,0553573403,8
51764,11676,0553573861,9
51795,11676,0553578359,9
51823,11676,0553581554,6
51827,11676,0553582127,7
51831,11676,0553582526,9
51834,11676,0553582747,7
51842,11676,0553583441,9
51865,11676,0553802461,7
51867,11676,0553802496,6
51885,11676,0571081789,8
52211,11676,0609610597,6
52227,11676,0618002219,10
52293,11676,0670851086,8
52314,11676,0670892963,7
52325,11676,067091021X,8
52326,11676,067100042X,5
52332,11676,0671001795,10
52335,11676,0671002481,5
52342,11676,0671003755,1
52348,11676,0671004549,6
52361,11676,0671011375,6
52370,11676,067101420X,4
52380,11676,0671016768,7
52408,11676,0671024108,9
52416,11676,0671025333,2
52417,11676,067102535X,6
52447,11676,0671036505,8
52468,11676,0671042572,10
52547,11676,0671534718,10
52567,11676,0671568175,7
52568,11676,0671568833,10
52585,11676,067164257X,3
52631,11676,0671693816,10
52637,11676,0671701231,6
52761,11676,0671864173,5
52763,11676,0671867091,9
52766,11676,0671867172,8
52794,11676,0671888587,8
52878,11676,0679426159,9
52888,11676,0679432477,9
52925,11676,0679454446,8
52933,11676,0679457313,10
52934,11676,0679457526,7
52941,11676,0679720200,3
52947,11676,0679721886,10
52955,11676,0679724362,8
52969,11676,0679734775,9
52973,11676,0679735909,6
52985,11676,0679742298,10
52988,11676,0679744398,8
52996,11676,0679751521,9
53019,11676,0679776818,8
53084,11676,0684801523,5
53091,11676,0684803860,7
53103,11676,0684814994,7
53121,11676,0684835959,10
53123,11676,0684835983,10
53176,11676,0684865742,8
53178,11676,0684867621,3
53187,11676,0684872153,9
53265,11676,0688177751,8
53266,11676,0688177859,10
53498,11676,0743203631,7
53504,11676,0743206061,10
53518,11676,0743222229,7
53547,11676,0743237188,6
53563,11676,0743262174,8
53585,11676,0743411269,9
53598,11676,0743417682,10
53628,11676,0743437802,8
53655,11676,0743454529,10
53660,11676,0743457943,10
53678,11676,0743469801,4
53942,11676,0765341972,6
53958,11676,0767900383,8
53962,11676,0767902521,8
53965,11676,0767902890,7
53976,11676,0767905385,10
53991,11676,0767914767,10
53995,11676,0767916069,8
54136,11676,0786861347,10
