book_a;book_b;count
0316284955;0316666343;16
0553280368;0553271636;16
0451190521;0451190572;16
0385484518;0316666343;16
0060934417;0316666343;16
0142000205;0316666343;16
0451190572;0451190491;16
0451190548;0451190572;16
0451190572;0451190521;16
0553271636;0553280368;16
0451190572;0451190548;16
0553271636;0449219461;16
0451190491;0451190572;16
0449221482;0553284789;16
0553271636;0449219364;16
1400031362;1400034779;15
0060930535;0316666343;15
0441005241;0441003745;15
0553280945;0553250531;15
0312305060;0312195516;15
0449221512;0553271636;15
0312195516;0312305060;15
0553279556;0553279912;15
0385265700;0316666343;15
0441002935;0441005748;15
0449221482;0553279556;15
0842329218;0842329277;15
0553271636;0553279912;15
0553279912;0553271636;15
0553280368;0449219461;15
0553280368;0449219364;15
0553250531;0553280945;15
0743237188;0452282829;15
0449219461;0553280368;15
0553279556;0449221482;15
0553271636;0449221512;15
0441004520;0441003745;15
0441004520;0441000916;15
0553279912;0553279556;15
0060930535;0316601950;15
0451190556;0451190572;15
0449219364;0553280368;15
0441000916;0441004520;15
1400034779;1400031362;15
0451190572;0451190556;15
0842329277;0842329218;15
0515132020;0515128546;15
0316601950;0060930535;15
0515128546;0515132020;15
0441005748;0441002935;15
0515121843;0515124214;15
0452282829;0743237188;15
0441003745;0441004520;15
0441003745;0441005241;15
0515124214;0515121843;15
0842332251;0842329242;14
0515132020;0515126772;14
0312195516;0743237188;14
0842329277;0842329269;14
0877017883;0811802981;14
0671001795;0316666343;14
0842332251;0842329218;14
0060987529;0316666343;14
0449219364;0449221482;14
0553280368;0449221512;14
0743237188;0312195516;14
0451190572;0451190564;14
0060987529;0060987103;14
0515131229;0515128554;14
0345409671;034538475X;14
0553280368;0449221504;14
0451190564;0451190572;14
0312195516;0375706771;14
0449219461;0449221482;14
0441003745;0441000916;14
0375706771;0312195516;14
0553284789;0553280368;14
0842329242;0842332251;14
0061009059;0316666343;14
0811802981;0877017883;14
0060987103;0060987529;14
0441002935;0441005241;14
0515126772;0515132020;14
0842329218;0842332251;14
0515132020;0515128554;14
0842329269;0842329277;14
0553280368;0553284789;14
0441000916;0441003745;14
0441005241;0441002935;14
0449221482;0449219461;14
0449221512;0553280368;14
0449221504;0553280368;14
0449221482;0449219364;14
0515128554;0515131229;14
0515128554;0515132020;14
034538475X;0345409671;14
0446672211;0671003755;13
0446672211;0385265700;13
0671003755;0446672211;13
0385335482;0316666343;13
0312976275;0061009059;13
0553280368;0449221482;13
0449221512;0449221504;13
0312195516;0671003755;13
0345439104;0316601950;13
0061009059;0312976275;13
0061009059;0312980140;13
0385335482;0385336179;13
0515126772;0515131229;13
0440498058;0316666343;13
0312195516;0452282829;13
0842329242;084233226X;13
0441004520;0441005241;13
0441004520;0441005748;13
0452282829;0312195516;13
0312980140;0061009059;13
0312980140;0312983271;13
0060976845;0316666343;13
0449221482;0553280368;13
0060976845;0316601950;13
0316601950;0060976845;13
0671003755;0312195516;13
0842329277;0842329242;13
0375706771;0060930535;13
0553279912;0449221504;13
0811802981;0811801802;13
084233226X;0842329242;13
0316601950;0345439104;13
0553279912;0449219461;13
0060930535;0446672211;13
0060987103;0316666343;13
0060930535;0375706771;13
0441005748;0441004520;13
0446672211;0060930535;13
0385336179;0385335482;13
0811801802;0811802981;13
0842329242;0842329277;13
0441005241;0441004520;13
0449221504;0449221512;13
0452282152;0316666343;13
0515131229;0515126772;13
0449221504;0553279912;13
0449219461;0553279912;13
0312983271;0312980140;13
0385265700;0446672211;13
0446672211;0375706771;12
0449219364;0449221504;12
0060934417;0312195516;12
0380718340;0425154092;12
0515121843;0515128554;12
0449221504;0553279556;12
0441005748;0441003745;12
0312265867;0312980140;12
0312980140;0312265867;12
0142001430;0316666343;12
0842332251;0842329250;12
0060934417;0452282152;12
0553289411;0553250426;12
0553213180;0553213148;12
0375706771;0446672211;12
1400034779;0312195516;12
0553279556;0449221504;12
0425154092;0380718340;12
0553284789;0553279912;12
0375700757;0312195516;12
0441003745;0441005748;12
0671001795;0312195516;12
051513287X;0515128554;12
051513287X;0515126772;12
0345438329;0316666343;12
0553279912;0449221512;12
0553279912;0553284789;12
0553213148;0553213180;12
0553250426;0553289411;12
0515131229;0515128546;12
1400031354;1400031346;12
0842329250;0842332251;12
0316601950;0375706771;12
0375706771;0316601950;12
0452282829;0316666343;12
0316601950;0385265700;12
0515121843;0515128546;12
0515128546;0515131229;12
0449221504;0449219364;12
0452282152;0060934417;12
0385265700;0316601950;12
1400031346;1400031354;12
0312966091;0316666343;12
0449221512;0553279912;12
0515126772;051513287X;12
0515128554;0515121843;12
0515128554;051513287X;12
0449221504;0449219461;12
0449219461;0449221504;12
0515128546;0515121843;12
0553280945;0553250426;11
0373244487;051513287X;11
0060938455;0316666343;11
0553280945;0553289411;11
084232920X;0842329218;11
084233226X;0842329218;11
0060930535;0452282152;11
0312966970;0061009059;11
0515132020;0515136379;11
0553279912;0449221482;11
0449219364;0553279912;11
0671021001;0446672211;11
0553250426;0312195516;11
0553213148;055321313X;11
0312966970;0312265867;11
0515136379;0515132020;11
0452282152;0060930535;11
0553279912;0449219364;11
0380813815;0316666343;11
0380718340;0380718332;11
0842329218;084233226X;11
1400031354;0316666343;11
0441005241;0441000916;11
0553284789;0449223604;11
0449221482;0449221490;11
0449221482;0449221504;11
0142000205;0452282829;11
0425189031;042518630X;11
0684865742;0316666343;11
0553250426;0553280945;11
0449221482;0553279912;11
0515128554;0515124214;11
0441000916;0441005241;11
0452282829;0142000205;11
0441000916;0441005748;11
0441005241;0441005748;11
0515128546;0373484224;11
0671021001;0452282829;11
0060502258;0312195516;11
0688170528;0316666343;11
0060392452;0316666343;11
0345409671;0345313860;11
0312990456;0312976275;11
0316284955;0312195516;11
0375706771;0060987103;11
0553213180;0553213164;11
0553213148;0553213164;11
0312265867;0312966970;11
0743237188;0316601950;11
0553289411;0553280945;11
0441005748;0441000916;11
0375706771;0385484518;11
0671695126;0671695169;11
051513287X;0373244487;11
0449221490;0553279556;11
0385484518;0375706771;11
0449221490;0449221482;11
055321313X;0553213148;11
0061009059;0312966970;11
0449221490;0449221512;11
0449223604;0553284789;11
0449221504;0449221482;11
0446672211;0671021001;11
0345313860;0345409671;11
0553279556;0449221490;11
0553213164;0553213148;11
0553213164;0553213180;11
0061009059;0312195516;11
0312305060;0316666343;11
0449221512;0449221490;11
0316601950;0743237188;11
0380718332;0380718340;11
0842329218;084232920X;11
0671695169;0671695126;11
0312976275;0312990456;11
0452282829;0671021001;11
0515124214;0515128554;11
0060987103;0375706771;11
0441005748;0441005241;11
0373484224;0515128546;11
042518630X;0425189031;11
0743237188;0316666343;10
0385335482;0312291639;10
0671003755;0060976845;10
0060959037;0312195516;10
0553271636;0449221504;10
0671003755;0452282829;10
0142000205;0446672211;10
0061009059;0375706771;10
0671003755;0385484518;10
080411868X;0316666343;10
0553280368;0449221490;10
0385265700;0312195516;10
0345318854;0345313151;10
0553284789;0449221490;10
0064471047;0064471101;10
0061009059;1400031354;10
0449221490;0553279912;10
084233226X;0842329269;10
034538475X;0345397819;10
0385492081;0316666343;10
0312265867;0671001795;10
0393319296;0385498721;10
0449221490;0553280368;10
0060934417;0060987103;10
0515114693;0515128546;10
0312265867;0312966091;10
0060976845;0312195516;10
0671670689;0671695169;10
0385335482;0446672211;10
0064471101;0064471047;10
051513287X;0515128546;10
0671003755;0316601950;10
0060976845;0671003755;10
0671001795;0312265867;10
0449221490;0553284789;10
0449221490;0449221504;10
0671695169;0671670689;10
0515124214;0515128546;10
0373483503;0515132020;10
0373483503;0515126772;10
0375706771;0452282829;10
0316601950;0671003755;10
0684872153;0316666343;10
1400034779;0452282152;10
0452282152;1400034779;10
0446672211;0142000205;10
0312291639;0385335482;10
0312291639;0316666343;10
0515132020;0373483503;10
0515128546;051511779X;10
0515121843;0515126772;10
0312291639;0312195516;10
0452282829;0380730138;10
0452282829;0375706771;10
0345397819;034538475X;10
0385484518;0316601950;10
0441010512;0441009239;10
0373483503;0515128554;10
0380730138;0452282829;10
0515128546;0515124214;10
0449221504;0553284789;10
0449223604;0449219364;10
0515131229;051511779X;10
0515131229;0515136379;10
0786890436;0316666343;10
0449221504;0553271636;10
0452282829;0671003755;10
0449221504;0449221490;10
0312966091;0312265867;10
1400031354;0061009059;10
0385335881;0316666343;10
0515136379;0515131229;10
0515128546;051513287X;10
0515126772;0515121843;10
0345313151;0345318854;10
0441009239;0441010512;10
0385484518;0671003755;10
0515128546;0515114693;10
0446672211;0385335482;10
0060987103;0060934417;10
051511779X;0515128546;10
0449219364;0449223604;10
051511779X;0515131229;10
0842329293;0842329277;10
0515126772;0373483503;10
0375412824;0316666343;10
0842329277;0842329293;10
0312966970;0316666343;10
0440226104;0316666343;10
0688177751;0316666343;10
0515128554;0373483503;10
0380730138;0316601950;10
0375706771;0061009059;10
0842329269;084233226X;10
0385498721;0393319296;10
0452282829;0316601950;10
0553279912;0449221490;10
0060987103;0312195516;10
0515121843;0515136379;9
1400031354;0312195516;9
0679746048;0316666343;9
0060976845;0446672211;9
1400031354;0060987103;9
1400031354;0060934417;9
0425181464;0425183971;9
0312983271;0316666343;9
0375700757;0316666343;9
0515136379;0515121843;9
0061097101;0316666343;9
051513287X;0515136530;9
0515136379;051513287X;9
0449003787;0449221482;9
051513628X;0515132020;9
051513628X;0515131229;9
0425183971;0425181464;9
0515114693;0373483503;9
0312980140;0312990456;9
0449221490;0449219364;9
0515114693;051511779X;9
0425154092;0380710218;9
051511779X;0515114693;9
0425154092;0380717018;9
0385484518;0312195516;9
1400031354;0671001795;9
0316096199;0671003755;9
1878424319;0316666343;9
0312983271;0312265867;9
051511779X;0515128554;9
0425154092;0425180638;9
0375500510;0316666343;9
051511779X;0515132020;9
0345438329;0345445848;9
0345438329;0375706771;9
0553271636;0449221482;9
0373484224;0515128554;9
0449221490;0449219461;9
0515121843;0515132020;9
0971880107;0316666343;9
0425180638;0425154092;9
0373243790;051513287X;9
0515121843;051513287X;9
0312980140;0312195516;9
051513287X;0515121843;9
051513287X;0373243790;9
0452282152;0446672211;9
0671759345;0671695169;9
0380730138;0312195516;9
084232920X;0842329242;9
0671021001;0312195516;9
0060502258;0316666343;9
0373244487;0515131229;9
0671695169;0671534718;9
0373244487;0515132020;9
1400034779;0316666343;9
0373243790;0515132020;9
0515128554;0373243790;9
0743237188;0671003755;9
1400031346;0060934417;9
051513287X;0515136379;9
0515120006;0515128546;9
0515136530;051513287X;9
0373483694;0515128546;9
0449221490;0449223604;9
0345313860;0316666343;9
0060987103;1400031354;9
0671695169;0671759345;9
0373483503;0515131229;9
0515128554;0373484224;9
0671003755;0743237188;9
0373483503;0515128546;9
0345445848;0345438329;9
0373243790;0515128554;9
0373483503;0515114693;9
0345439104;0316666343;9
0312983271;0312966091;9
0767905180;0316666343;9
0060934417;1400031346;9
0312265867;0312983271;9
0449219461;0449221490;9
0312265867;0312976275;9
0060934417;0446672211;9
0060930535;0452282829;9
0316096199;0312195516;9
0842329250;084233226X;9
0380710218;0425154092;9
0553213164;055321313X;9
0060934417;1400031354;9
0842332278;084233226X;9
0375706771;0345438329;9
0671534718;0671695169;9
0312990456;0312980140;9
0440226104;0446672211;9
0312291639;0312305060;9
0515132020;0373244487;9
055321313X;0553213164;9
0312265867;0316666343;9
0515131229;051513628X;9
0671003755;0060930535;9
0515131229;0373483503;9
0515126772;0515124214;9
0449221482;0449223604;9
0786885688;0316666343;9
0842332251;084233226X;9
0671001795;1400031354;9
0452282829;0060930535;9
0060930535;0671003755;9
0515132020;051511779X;9
0515132020;0515121843;9
0671003755;0316096199;9
0515131229;0373244487;9
084233226X;0842329250;9
084233226X;0842332251;9
084233226X;0842332278;9
0345339681;0316666343;9
0312966091;0312983271;9
0312976275;0312265867;9
0385335830;0316666343;9
0316096199;0446672211;9
0345438329;0312195516;9
0312305060;0312291639;9
0842329242;084232920X;9
0449223604;0449221482;9
0449223604;0449221490;9
0679735771;0316666343;9
0515124214;0515126772;9
0380717018;0425154092;9
0449003787;0449221490;8
0679454470;0345313860;8
0345313860;0679441018;8
0345313860;0679454470;8
0449003787;0449219364;8
0515126772;0515114693;8
0842329293;0842329269;8
0842329293;0842329242;8
0373484224;051513287X;8
0449003787;0449221512;8
0373484224;0515131229;8
0449003787;0449219461;8
0670839531;0385199570;8
0373484224;0515126772;8
0515126772;0373484224;8
0345423291;0316666343;8
0380730138;0060930535;8
0385503954;0316666343;8
0312305060;0316168688;8
0373243790;0515131229;8
0373484224;0515114693;8
0345313151;0380752859;8
0425189031;0425183971;8
0375727132;0316666343;8
0312980140;0316601950;8
0373483503;0373484224;8
0345313860;0345397819;8
0836221362;0836218787;8
0515136379;0553294903;8
0142000205;0375706771;8
0060987103;0671021001;8
0670892963;0316666343;8
051513628X;0515126772;8
051513628X;0515128546;8
051511779X;051513287X;8
055321313X;0316666343;8
051513628X;051513287X;8
0446519138;0316666343;8
0446675059;0312195516;8
0842332251;0842329269;8
0449003787;0553284789;8
0425189031;0515128554;8
0425183971;0425189031;8
0425189031;0515132020;8
0515133876;0316666343;8
0425183971;042518630X;8
0385335881;0060987103;8
0836221362;0836217691;8
0671021001;0316601950;8
0060930535;0380730138;8
0373483694;0515128554;8
0515136530;0515121843;8
0440226104;0312195516;8
0515136530;042518630X;8
0515136530;0515126772;8
0515136530;0515128554;8
0385722435;0312195516;8
0515136530;0515131229;8
0515136530;0515132020;8
0060930535;0385484518;8
0842329250;084232920X;8
0385722435;0316666343;8
0515136530;0373483503;8
0553294903;0515136379;8
0345313860;0452282152;8
0671534734;0671759345;8
0515121843;0515136530;8
034541389X;0316666343;8
0060987103;0385722435;8
0380718332;0380717018;8
0671759345;0671534734;8
0060987103;0385335881;8
042518630X;0425183971;8
0684867621;0684853507;8
0060392452;0385484518;8
0515121843;0515131229;8
0836217691;0836221362;8
0345397819;0345313860;8
0385722435;0060987103;8
0345422384;034538475X;8
0385509456;0316666343;8
0385484518;0060930535;8
0385484518;0060392452;8
0375412530;0312195516;8
1400034779;0060934417;8
0440498058;0446672211;8
0375412530;0316666343;8
0842329242;0842329293;8
0805059555;0805036504;8
0312966970;0312195516;8
0842329269;0842329293;8
0380730138;0316666343;8
0842329269;0842332251;8
0373484224;0373483503;8
0312291639;0385336179;8
0062502182;0316666343;8
0373484003;0515132020;8
0373483503;0515136530;8
042518630X;0515128554;8
0842329242;0842332278;8
0671534734;0671695169;8
042518630X;0515131229;8
0060987103;0452282152;8
042518630X;0515132020;8
042518630X;051513287X;8
0373484003;0515128554;8
042518630X;0515136530;8
0373483503;051513287X;8
0679441018;0345313860;8
0446394521;0316666343;8
0373484003;0515131229;8
0380718340;0061009059;8
0380717018;0380718332;8
0671695169;0671534734;8
0805036504;0805059555;8
0345380371;0345353145;8
0446604801;0446606189;8
0385512104;0316666343;8
0385335881;0446672211;8
0060934417;1400034779;8
0449223604;0553279556;8
0064471047;0064471055;8
0385335881;0449219364;8
0684853507;0684867621;8
0060502258;0375706771;8
0385336179;0312291639;8
0375705856;0316666343;8
0439139600;0446672211;8
0374199698;0312195516;8
0064471055;0064471101;8
0842332278;0842329242;8
0064471055;0064471047;8
0345452550;0316666343;8
0671695126;0671670689;8
0553213180;055321313X;8
0452282152;0345313860;8
0767915054;0316666343;8
1400031354;0345438329;8
0743237188;0142000205;8
034538475X;0345422384;8
0671693816;0316666343;8
0385199570;0670839531;8
0061009059;0380718340;8
0679746048;0312195516;8
034538475X;0316666343;8
0380710218;0380718340;8
0449223604;0449221512;8
084232920X;0842329250;8
0441002935;0425181685;8
0345438329;1400031354;8
0425181685;0441002935;8
0316096199;0385265700;8
0312976275;0553279912;8
0316168688;0312305060;8
055321313X;0553213180;8
0679746048;0385335482;8
0671670689;0671695126;8
0385265700;0316096199;8
0836218620;0836217691;8
0312979096;0316666343;8
0066214122;0316666343;8
0385335482;0679746048;8
0515114693;0515126772;8
0515114693;0515128554;8
0515114693;0515131229;8
0515114693;0515132020;8
0385511612;0316666343;8
0380718340;0380710218;8
0142001430;0312195516;8
0060502258;1400031354;8
0064471101;0064471055;8
0060976845;0060930535;8
0060392452;0312195516;8
0312966970;0553280368;8
0345353145;0345380371;8
0515114693;0373484224;8
0374199698;0316666343;8
0836218787;0836221362;8
0380752859;0345313151;8
0836217691;0836218620;8
0671021001;0060987103;8
0380718340;0316666343;8
0452282152;0060987103;8
0515136379;0515126772;8
0142000205;0743237188;8
0743203631;0316666343;8
0375706410;0312195516;8
0446606189;0446604801;8
0385335881;0316601950;7
055357258X;0553560247;7
0515136379;0373483503;7
0345313860;0312195516;7
0060987529;1400031354;7
0060987529;0060930535;7
0385484518;0684872153;7
0515136379;0515124214;7
0971880107;0446672211;7
0684867621;0684853515;7
0446675059;0060987103;7
0452282152;0684801523;7
0452282152;0316601950;7
0971880107;0375702709;7
0786890436;0312195516;7
0446675059;0312966091;7
0446675059;0743237188;7
0767905180;0385335482;7
0373483503;051511779X;7
0312305060;0060930535;7
0312983301;0312983271;7
084232920X;0842332251;7
0385721420;0060987103;7
084232920X;084233226X;7
0345339711;0345325818;7
034541389X;0345413881;7
0684853515;0684867621;7
0312983271;0312966970;7
0060987529;0142001805;7
0373484232;051513287X;7
0312966091;0446675059;7
0312305060;0385722435;7
0373484232;0515128554;7
0312983271;0312976275;7
0373483694;0373483503;7
0312986343;0312966970;7
0312986343;0316666343;7
0425183971;0515132020;7
0385336179;0316666343;7
0836217691;0836218787;7
0425183971;0515128554;7
0312983271;0316601950;7
0425183971;0515128546;7
038542017X;0316666343;7
0425183971;0515121843;7
0373484224;0373243790;7
0385721420;0312195516;7
0345339738;0345325818;7
0671534734;0671695126;7
0767905385;0316666343;7
0684865742;0312195516;7
0373484224;0373483694;7
0140270590;0140254544;7
1400031346;0316666343;7
0441010512;0316666343;7
0373484224;0515121843;7
0671534734;0671670689;7
0385484518;0671001795;7
0671534734;0671534718;7
0373484410;0515128554;7
0060987529;0440498058;7
0684867621;0316666343;7
0671534718;0671534734;7
0373483694;0373484224;7
0373484232;0373243790;7
0373484429;0515131229;7
0373483694;051511779X;7
0671534718;0671670689;7
1400031346;0060987103;7
0671534718;0671695126;7
0786881852;0316666343;7
0671534718;0671759345;7
0373484410;0515132020;7
0380789035;0316666343;7
0060987529;0375706771;7
0385498802;0446672211;7
0425183971;0425191583;7
0312983271;0312983301;7
0345413881;034541389X;7
0842329218;0842329293;7
0060920084;0316666343;7
0312305060;0452282152;7
0767905180;0316601950;7
0743237188;0375702709;7
0446610542;0316666343;7
084233226X;084232920X;7
0373218036;0515136530;7
0373218036;0515126772;7
0385420161;0316666343;7
034538475X;0679441018;7
0373218036;0373483503;7
0373218036;0373218486;7
0142001805;0060987529;7
0836218787;0836218620;7
0836218787;0836217691;7
0842332278;0842332251;7
034538475X;0345434803;7
0804108749;0316666343;7
0671695126;0671759345;7
0671695126;0671534734;7
0671695126;0671534718;7
0671004549;0671701231;7
0743237188;0060987103;7
0441005748;0425181685;7
0345434803;034538475X;7
0452282195;0375706771;7
0553560247;055357258X;7
0060502258;0312966970;7
0373218192;051513628X;7
0385335482;0767905180;7
051511779X;0373484224;7
051511779X;0373483694;7
051511779X;0373483503;7
0142000205;0671021001;7
0671701231;0671867172;7
0553271636;0449003795;7
0671701231;0671004549;7
0786867647;0312195516;7
0446610542;051513628X;7
0060976845;0345438329;7
0425191583;0425183971;7
0425191583;042518630X;7
0425191583;0515128546;7
0425191583;0515132020;7
0786867647;0345438329;7
0786867647;0316666343;7
0345435168;0312195516;7
0743237188;0380730138;7
0842332251;0842332278;7
0743237188;0446675059;7
0312976275;0449003787;7
0345439104;0060930535;7
0671670689;0671759345;7
0345436911;0316666343;7
0345438329;0786867647;7
0671670689;0671534734;7
0671670689;0671534718;7
0345438329;0446672211;7
034538475X;0345339703;7
0385265700;0671021001;7
0345438329;0060976845;7
0836218620;0836218787;7
0385265700;0452282152;7
0312976275;0312983271;7
0385474016;0312195516;7
0316096199;0385484518;7
0345325818;0345339711;7
0345445848;155874262X;7
0060959037;0452282152;7
0345445848;1400034779;7
0345445848;1400031354;7
0312983271;0671001795;7
0446604801;0380718340;7
0441005748;0345423402;7
0345445848;0316666343;7
0345445848;0312195516;7
0345325818;0345339738;7
0060938455;0671003755;7
0345439104;0452282829;7
0345439104;0446672211;7
0345439104;0312195516;7
0142000205;0440226104;7
0373218397;0515126772;7
0345313860;0375401598;7
0441003745;0345423402;7
0345416260;0316666343;7
0671759345;0671695126;7
0671759345;0671670689;7
042518630X;0373483503;7
0671759345;0671534718;7
0380813815;1400031354;7
0345339703;034538475X;7
0553296981;0316666343;7
0441010512;0441008534;7
042518630X;0425191583;7
0385484518;0316096199;7
0312990456;0316666343;7
0385722435;0312305060;7
042518630X;0515126772;7
0345416260;0312195516;7
0767905180;0312195516;7
0312986343;0671001795;7
0684872153;0312195516;7
0670839531;0670851086;7
0312291639;0446672211;7
0684872153;0385484518;7
0440226104;0142000205;7
0842329250;0842329293;7
0373218397;0515128554;7
0373243790;0373484232;7
0373243790;0373484224;7
0373243790;0373483503;7
0345313860;0671003755;7
0373218486;0515131229;7
0373218486;0373218036;7
0425189031;0373483503;7
0373218400;051513287X;7
0842329293;0842329250;7
0345423402;0441002935;7
0345423402;0441003745;7
0425189031;0515128546;7
0425189031;0515131229;7
0345423402;0441005748;7
0425189031;051513287X;7
0842332251;084232920X;7
051511779X;0515121843;7
0553250426;0060930535;7
0060392452;0767902521;7
0373218397;0515136379;7
0373218397;051513287X;7
0373218397;0515132020;7
0688177751;0375706771;7
0842329293;0842329218;7
0767900383;1400034779;7
0441008534;0441010512;7
0373244487;0515128554;7
0688170528;0312195516;7
0767900383;0316666343;7
0441003745;0425181685;7
0373243790;0515128546;7
0688177751;0312195516;7
0670851086;0670839531;7
0345423291;0446672211;7
0767902521;0060392452;7
051513628X;0373218192;7
1558744150;155874262X;7
0385492081;0446672211;7
0316781142;0316601950;7
0380718332;0425180638;7
0449907481;0316666343;7
0440498058;0060987529;7
0316782505;0316666343;7
0441002935;0345423402;7
1400034779;0345445848;7
0380718340;0553279556;7
1558743316;155874262X;7
1400034779;0060987103;7
1400034779;0060930535;7
0375705856;0312195516;7
0425116840;0425109720;7
0380718340;0446604801;7
0375705856;0375700757;7
0515121843;0373484224;7
0375401598;0345313860;7
1558744150;0375706771;7
0062502182;0312195516;7
0515124214;0515136379;7
140003180X;1400031362;7
051513628X;042518630X;7
0449223604;0449219461;7
1565122968;0380730138;7
051513628X;0446610542;7
0805036377;0805036504;7
0679734775;0316666343;7
0140244824;0380730138;7
0375725784;0060987103;7
140003180X;1400031354;7
0679454470;0316666343;7
0440498058;0312966091;7
0449223604;0553279912;7
0140244824;0316666343;7
0316782505;0446672211;7
0140254544;0140270590;7
0679751521;0316666343;7
0380730138;0140244824;7
0684801523;0452282152;7
0375702709;0060987103;7
0380723638;0380725835;7
0449003795;0553271636;7
0449003787;0553271636;7
0449003787;0553279556;7
0449003787;0553279912;7
0449003787;0553280368;7
0380725835;0380723638;7
0375700757;0375705856;7
0375700757;0452282152;7
0684801523;0312195516;7
0399150897;0316666343;7
0380730138;0446672211;7
0515124214;051513628X;7
0425154092;0449003787;7
0679746048;0060987103;7
155874262X;0345445848;7
1400034779;0767900383;7
0679441018;034538475X;7
155874262X;1558743316;7
155874262X;1558744150;7
0425109720;0425116840;7
0064400557;0446672211;7
0515124214;0515132020;7
0425180638;0380718332;7
0399149848;051513628X;7
0375702709;0743237188;7
0425178579;0425181464;7
0375702709;0312195516;7
0375702709;0316666343;7
0380730138;1565122968;7
